"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"07-12-2024 13:00","1720789202","0.935","0.065","0.0075"
"07-12-2024 14:00","1720792802","0.935","0.065","0.0075"
"07-12-2024 15:00","1720796402","0.935","0.065","0.0075"
"07-12-2024 16:00","1720800002","0.935","0.065","0.0075"
"07-12-2024 17:00","1720803603","0.935","0.065","0.0075"
"07-12-2024 18:00","1720807202","0.935","0.065","0.0075"
"07-12-2024 19:00","1720810802","0.935","0.065","0.0075"
"07-12-2024 20:00","1720814402","0.935","0.065","0.0075"
"07-12-2024 21:00","1720818002","0.935","0.065","0.0075"
"07-12-2024 22:00","1720821602","0.935","0.065","0.0075"
"07-12-2024 23:00","1720825202","0.935","0.065","0.0075"
"07-13-2024 00:00","1720828803","0.935","0.065","0.0075"
"07-13-2024 01:00","1720832402","0.935","0.065","0.0075"
"07-13-2024 02:00","1720836003","0.935","0.065","0.0075"
"07-13-2024 03:00","1720839603","0.935","0.065","0.0075"
"07-13-2024 04:00","1720843202","0.935","0.065","0.0075"
"07-13-2024 05:00","1720846803","0.935","0.065","0.0075"
"07-13-2024 06:00","1720850402","0.935","0.065","0.0075"
"07-13-2024 07:00","1720854002","0.935","0.065","0.0075"
"07-13-2024 08:00","1720857602","0.935","0.065","0.0075"
"07-13-2024 09:00","1720861203","0.935","0.065","0.0075"
"07-13-2024 10:00","1720864803","0.935","0.065","0.0075"
"07-13-2024 11:00","1720868402","0.935","0.065","0.0075"
"07-13-2024 12:00","1720872003","0.935","0.065","0.0075"
"07-13-2024 13:00","1720875602","0.935","0.065","0.0075"
"07-13-2024 14:00","1720879203","0.935","0.065","0.0075"
"07-13-2024 15:00","1720882802","0.935","0.065","0.0075"
"07-13-2024 16:00","1720886403","0.935","0.065","0.0075"
"07-13-2024 17:00","1720890002","0.935","0.065","0.0075"
"07-13-2024 18:00","1720893603","0.935","0.065","0.0075"
"07-13-2024 19:00","1720897202","0.935","0.065","0.0075"
"07-13-2024 20:00","1720900803","0.935","0.065","0.0075"
"07-13-2024 21:00","1720904403","0.935","0.065","0.0075"
"07-13-2024 22:00","1720908002","0.935","0.065","0.0075"
"07-13-2024 23:00","1720911602","0.935","0.065","0.0075"
"07-14-2024 00:00","1720915202","0.935","0.065","0.0075"
"07-14-2024 01:00","1720918802","0.935","0.065","0.0075"
"07-14-2024 02:00","1720922403","0.935","0.065","0.0075"
"07-14-2024 03:00","1720926002","0.935","0.065","0.0075"
"07-14-2024 04:00","1720929603","0.935","0.065","0.0075"
"07-14-2024 05:00","1720933202","0.935","0.065","0.0075"
"07-14-2024 06:00","1720936803","0.935","0.065","0.0075"
"07-14-2024 07:00","1720940402","0.935","0.065","0.0075"
"07-14-2024 08:00","1720944003","0.935","0.065","0.0075"
"07-14-2024 09:00","1720947602","0.935","0.065","0.0075"
"07-14-2024 10:00","1720951202","0.935","0.065","0.0075"
"07-14-2024 11:00","1720954802","0.935","0.065","0.0075"
"07-14-2024 12:00","1720958403","0.935","0.065","0.0075"
"07-14-2024 13:00","1720962003","0.935","0.065","0.0075"
"07-14-2024 14:00","1720965602","0.935","0.065","0.0075"
"07-14-2024 15:00","1720969202","0.935","0.065","0.0075"
"07-14-2024 16:00","1720972802","0.935","0.065","0.0075"
"07-14-2024 17:00","1720976403","0.935","0.065","0.0075"
"07-14-2024 18:00","1720980002","0.935","0.065","0.0075"
"07-14-2024 19:00","1720983603","0.935","0.065","0.0075"
"07-14-2024 20:00","1720987202","0.935","0.065","0.0075"
"07-14-2024 21:00","1720990803","0.935","0.065","0.0075"
"07-14-2024 22:00","1720994402","0.935","0.065","0.0075"
"07-14-2024 23:00","1720998002","0.935","0.065","0.0075"
"07-15-2024 00:00","1721001603","0.935","0.065","0.0075"
"07-15-2024 01:00","1721005202","0.935","0.065","0.0075"
"07-15-2024 02:00","1721008803","0.935","0.065","0.0075"
"07-15-2024 03:00","1721012402","0.935","0.065","0.0075"
"07-15-2024 04:00","1721016003","0.935","0.065","0.0075"
"07-15-2024 05:00","1721019602","0.935","0.065","0.0075"
"07-15-2024 06:00","1721023202","0.935","0.065","0.0075"
"07-15-2024 07:00","1721026802","0.935","0.065","0.0075"
"07-15-2024 08:00","1721030403","0.935","0.065","0.0075"
"07-15-2024 09:00","1721034002","0.935","0.065","0.0075"
"07-15-2024 10:00","1721037602","0.935","0.065","0.0075"
"07-15-2024 11:00","1721041203","0.935","0.065","0.0075"
"07-15-2024 12:00","1721044803","0.935","0.065","0.0075"
"07-15-2024 13:00","1721048403","0.935","0.065","0.0075"
"07-15-2024 14:00","1721052002","0.935","0.065","0.0075"
"07-15-2024 15:00","1721055603","0.935","0.065","0.0075"
"07-15-2024 16:00","1721059202","0.935","0.065","0.0075"
"07-15-2024 17:00","1721062802","0.935","0.065","0.0075"
"07-15-2024 18:00","1721066403","0.935","0.065","0.0075"
"07-15-2024 19:00","1721070002","0.935","0.065","0.0075"
"07-15-2024 20:00","1721073603","0.935","0.065","0.0075"
"07-15-2024 21:00","1721077203","0.935","0.065","0.0075"
"07-15-2024 22:00","1721080802","0.935","0.065","0.0075"
"07-15-2024 23:00","1721084402","0.935","0.065","0.0075"
"07-16-2024 00:00","1721088002","0.935","0.065","0.0075"
"07-16-2024 01:00","1721091603","0.935","0.065","0.0075"
"07-16-2024 02:00","1721095202","0.935","0.065","0.0075"
"07-16-2024 03:00","1721098802","0.935","0.065","0.0075"
"07-16-2024 04:00","1721102404","0.935","0.065","0.0075"
"07-16-2024 05:00","1721106002","0.935","0.065","0.0075"
"07-16-2024 06:00","1721109601","0.935","0.065","0.0075"
"07-16-2024 07:00","1721113201","0.935","0.065","0.0075"
"07-16-2024 08:00","1721116801","0.935","0.065","0.0075"
"07-16-2024 09:00","1721120401","0.935","0.065","0.007"
"07-16-2024 10:00","1721124001","0.935","0.065","0.007"
"07-16-2024 11:00","1721127601","0.935","0.065","0.007"
"07-16-2024 12:00","1721131201","0.935","0.065","0.007"
"07-16-2024 13:00","1721134801","0.935","0.065","0.007"
"07-16-2024 14:00","1721138401","0.935","0.065","0.007"
"07-16-2024 15:00","1721142001","0.935","0.065","0.007"
"07-16-2024 16:00","1721145601","0.935","0.065","0.007"
"07-16-2024 17:00","1721149201","0.935","0.065","0.007"
"07-16-2024 18:00","1721152801","0.935","0.065","0.007"
"07-16-2024 19:00","1721156401","0.935","0.065","0.007"
"07-16-2024 20:00","1721160001","0.94","0.055","0.007"
"07-16-2024 21:00","1721163601","0.94","0.055","0.007"
"07-16-2024 22:00","1721167201","0.94","0.055","0.007"
"07-16-2024 23:00","1721170801","0.94","0.055","0.007"
"07-17-2024 00:00","1721174401","0.945","0.055","0.007"
"07-17-2024 01:00","1721178001","0.945","0.055","0.007"
"07-17-2024 02:00","1721181601","0.945","0.055","0.007"
"07-17-2024 03:00","1721185201","0.945","0.055","0.007"
"07-17-2024 04:00","1721188801","0.945","0.055","0.007"
"07-17-2024 05:00","1721192401","0.945","0.055","0.007"
"07-17-2024 06:00","1721196001","0.945","0.055","0.007"
"07-17-2024 07:00","1721199601","0.945","0.055","0.007"
"07-17-2024 08:00","1721203202","0.945","0.055","0.007"
"07-17-2024 09:00","1721206802","0.945","0.055","0.007"
"07-17-2024 10:00","1721210401","0.945","0.055","0.007"
"07-17-2024 11:00","1721214001","0.945","0.055","0.007"
"07-17-2024 12:00","1721217602","0.945","0.055","0.007"
"07-17-2024 13:00","1721221202","0.945","0.055","0.007"
"07-17-2024 14:00","1721224802","0.945","0.055","0.007"
"07-17-2024 15:00","1721228402","0.945","0.055","0.007"
"07-17-2024 16:00","1721232002","0.945","0.055","0.007"
"07-17-2024 17:00","1721235601","0.945","0.055","0.007"
"07-17-2024 18:00","1721239202","0.945","0.055","0.007"
"07-17-2024 19:00","1721242801","0.945","0.055","0.007"
"07-17-2024 20:00","1721246402","0.945","0.055","0.007"
"07-17-2024 21:00","1721250001","0.945","0.055","0.007"
"07-17-2024 22:00","1721253602","0.945","0.055","0.007"
"07-17-2024 23:00","1721257202","0.945","0.055","0.007"
"07-18-2024 00:00","1721260802","0.945","0.055","0.007"
"07-18-2024 01:00","1721264402","0.945","0.055","0.007"
"07-18-2024 02:00","1721268002","0.945","0.055","0.007"
"07-18-2024 03:00","1721271601","0.945","0.055","0.007"
"07-18-2024 04:00","1721275201","0.945","0.055","0.007"
"07-18-2024 05:00","1721278801","0.945","0.055","0.007"
"07-18-2024 06:00","1721282402","0.945","0.055","0.007"
"07-18-2024 07:00","1721286001","0.945","0.055","0.007"
"07-18-2024 08:00","1721289602","0.945","0.055","0.007"
"07-18-2024 09:00","1721293201","0.945","0.055","0.007"
"07-18-2024 10:00","1721296802","0.945","0.055","0.007"
"07-18-2024 11:00","1721300401","0.945","0.055","0.007"
"07-18-2024 12:00","1721304002","0.945","0.055","0.007"
"07-18-2024 13:00","1721307601","0.945","0.055","0.007"
"07-18-2024 14:00","1721311201","0.945","0.055","0.007"
"07-18-2024 15:00","1721314801","0.945","0.055","0.007"
"07-18-2024 16:00","1721318401","0.945","0.055","0.007"
"07-18-2024 17:00","1721322002","0.945","0.055","0.007"
"07-18-2024 18:00","1721325602","0.945","0.055","0.007"
"07-18-2024 19:00","1721329201","0.945","0.055","0.007"
"07-18-2024 20:00","1721332802","0.945","0.055","0.007"
"07-18-2024 21:00","1721336401","0.945","0.055","0.007"
"07-18-2024 22:00","1721340001","0.945","0.055","0.007"
