"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"08-12-2024 07:00","1723446002","0.57","0.435","0.003"
"08-12-2024 08:00","1723449602","0.57","0.435","0.003"
"08-12-2024 09:00","1723453201","0.57","0.435","0.0035"
"08-12-2024 10:00","1723456802","0.57","0.435","0.0035"
"08-12-2024 11:00","1723460401","0.57","0.435","0.003"
"08-12-2024 12:00","1723464001","0.57","0.435","0.003"
"08-12-2024 13:00","1723467602","0.57","0.435","0.003"
"08-12-2024 14:00","1723471201","0.57","0.425","0.003"
"08-12-2024 15:00","1723474802","0.57","0.425","0.003"
"08-12-2024 16:00","1723478402","0.57","0.425","0.003"
"08-12-2024 17:00","1723482001","0.57","0.425","0.003"
"08-12-2024 18:00","1723485602","0.57","0.425","0.0025"
"08-12-2024 19:00","1723489202","0.575","0.425","0.0025"
"08-12-2024 20:00","1723492801","0.58","0.425","0.0025"
"08-12-2024 21:00","1723496402","0.595","0.405","0.0025"
"08-12-2024 22:00","1723500002","0.58","0.405","0.0025"
"08-12-2024 23:00","1723503602","0.58","0.405","0.0025"
"08-13-2024 00:00","1723507202","0.58","0.405","0.0025"
"08-13-2024 01:00","1723510801","0.58","0.405","0.0025"
"08-13-2024 02:00","1723514402","0.58","0.405","0.0025"
"08-13-2024 03:00","1723518002","0.58","0.405","0.0025"
"08-13-2024 04:00","1723521602","0.58","0.405","0.0025"
"08-13-2024 05:00","1723525202","0.585","0.405","0.0025"
"08-13-2024 06:00","1723528802","0.58","0.405","0.0025"
"08-13-2024 07:00","1723532402","0.58","0.405","0.0025"
"08-13-2024 08:00","1723536001","0.58","0.405","0.0025"
"08-13-2024 09:00","1723539602","0.58","0.405","0.0025"
"08-13-2024 10:00","1723543201","0.585","0.405","0.0025"
"08-13-2024 11:00","1723546801","0.575","0.405","0.0025"
"08-13-2024 12:00","1723550402","0.575","0.405","0.0025"
"08-13-2024 13:00","1723554002","0.575","0.405","0.0025"
"08-13-2024 14:00","1723557602","0.575","0.405","0.0025"
"08-13-2024 15:00","1723561201","0.58","0.405","0.0025"
"08-13-2024 16:00","1723564802","0.575","0.405","0.0025"
"08-13-2024 17:00","1723568401","0.58","0.405","0.0025"
"08-13-2024 18:00","1723572002","0.585","0.405","0.0025"
"08-13-2024 19:00","1723575602","0.585","0.405","0.0025"
"08-13-2024 20:00","1723579203","0.585","0.405","0.0025"
"08-13-2024 21:00","1723582802","0.585","0.41","0.0025"
"08-13-2024 22:00","1723586402","0.585","0.41","0.0025"
"08-13-2024 23:00","1723590002","0.585","0.41","0.0025"
"08-14-2024 00:00","1723593602","0.585","0.41","0.0025"
"08-14-2024 01:00","1723597202","0.585","0.41","0.0025"
"08-14-2024 02:00","1723600802","0.585","0.41","0.0025"
"08-14-2024 03:00","1723604402","0.585","0.41","0.0025"
"08-14-2024 04:00","1723608001","0.585","0.405","0.0025"
"08-14-2024 05:00","1723611602","0.585","0.405","0.0025"
"08-14-2024 06:00","1723615202","0.585","0.405","0.0025"
"08-14-2024 07:00","1723618802","0.585","0.41","0.0025"
"08-14-2024 08:00","1723622402","0.585","0.41","0.0025"
"08-14-2024 09:00","1723626002","0.585","0.41","0.0025"
"08-14-2024 10:00","1723629602","0.585","0.41","0.0025"
"08-14-2024 11:00","1723633202","0.585","0.41","0.0025"
"08-14-2024 12:00","1723636802","0.585","0.41","0.0025"
"08-14-2024 13:00","1723640402","0.585","0.41","0.0025"
"08-14-2024 14:00","1723644002","0.585","0.41","0.0025"
"08-14-2024 15:00","1723647601","0.585","0.41","0.0025"
"08-14-2024 16:00","1723651202","0.585","0.41","0.0025"
"08-14-2024 17:00","1723654802","0.585","0.41","0.0025"
"08-14-2024 18:00","1723658401","0.585","0.41","0.0025"
"08-14-2024 19:00","1723662001","0.585","0.41","0.0025"
"08-14-2024 20:00","1723665601","0.585","0.41","0.0025"
"08-14-2024 21:00","1723669202","0.585","0.405","0.0025"
"08-14-2024 22:00","1723672802","0.585","0.405","0.0025"
"08-14-2024 23:00","1723676401","0.585","0.405","0.0025"
"08-15-2024 00:00","1723680002","0.585","0.405","0.0025"
"08-15-2024 01:00","1723683601","0.585","0.405","0.0025"
"08-15-2024 02:00","1723687202","0.585","0.405","0.0025"
"08-15-2024 03:00","1723690801","0.595","0.4","0.0035"
"08-15-2024 04:00","1723694402","0.595","0.4","0.0035"
"08-15-2024 05:00","1723698001","0.595","0.4","0.0035"
"08-15-2024 06:00","1723701601","0.595","0.4","0.0035"
"08-15-2024 07:00","1723705202","0.595","0.4","0.0035"
"08-15-2024 08:00","1723708802","0.595","0.4","0.0035"
"08-15-2024 09:00","1723712401","0.595","0.4","0.0035"
"08-15-2024 10:00","1723716001","0.595","0.4","0.0035"
"08-15-2024 11:00","1723719602","0.595","0.4","0.0035"
"08-15-2024 12:00","1723723201","0.595","0.4","0.0035"
"08-15-2024 13:00","1723726802","0.595","0.4","0.0035"
"08-15-2024 14:00","1723730401","0.6","0.4","0.0045"
"08-15-2024 15:00","1723734002","0.6","0.4","0.0045"
"08-15-2024 16:00","1723737601","0.6","0.4","0.0045"
"08-15-2024 17:00","1723741201","0.605","0.395","0.0045"
"08-15-2024 18:00","1723744802","0.605","0.395","0.0045"
"08-15-2024 19:00","1723748402","0.605","0.395","0.0045"
"08-15-2024 20:00","1723752001","0.605","0.395","0.0045"
"08-15-2024 21:00","1723755601","0.605","0.395","0.0045"
"08-15-2024 22:00","1723759201","0.605","0.395","0.0045"
"08-15-2024 23:00","1723762802","0.585","0.4","0.0045"
"08-16-2024 00:00","1723766402","0.585","0.4","0.0045"
"08-16-2024 01:00","1723770001","0.585","0.4","0.0045"
"08-16-2024 02:00","1723773601","0.585","0.4","0.0045"
"08-16-2024 03:00","1723777201","0.585","0.4","0.0045"
"08-16-2024 04:00","1723780801","0.585","0.4","0.0045"
"08-16-2024 05:00","1723784402","0.585","0.4","0.0045"
"08-16-2024 06:00","1723788002","0.585","0.405","0.0045"
"08-16-2024 07:00","1723791602","0.585","0.405","0.0045"
"08-16-2024 08:00","1723795201","0.585","0.405","0.0045"
"08-16-2024 09:00","1723798802","0.595","0.405","0.0045"
"08-16-2024 10:00","1723802402","0.595","0.405","0.0045"
"08-16-2024 11:00","1723806002","0.595","0.405","0.0045"
"08-16-2024 12:00","1723809602","0.595","0.405","0.0045"
"08-16-2024 13:00","1723813201","0.595","0.405","0.0045"
"08-16-2024 14:00","1723816801","0.595","0.405","0.0045"
"08-16-2024 15:00","1723820402","0.595","0.405","0.0045"
"08-16-2024 16:00","1723824001","0.595","0.405","0.004"
"08-16-2024 17:00","1723827602","0.595","0.405","0.0045"
"08-16-2024 18:00","1723831201","0.585","0.405","0.004"
"08-16-2024 19:00","1723834802","0.585","0.405","0.004"
"08-16-2024 20:00","1723838402","0.585","0.405","0.004"
"08-16-2024 21:00","1723842002","0.585","0.405","0.004"
"08-16-2024 22:00","1723845602","0.585","0.405","0.004"
"08-16-2024 23:00","1723849201","0.585","0.405","0.0045"
"08-17-2024 00:00","1723852802","0.585","0.405","0.0045"
"08-17-2024 01:00","1723856402","0.585","0.405","0.0045"
"08-17-2024 02:00","1723860002","0.585","0.405","0.0045"
"08-17-2024 03:00","1723863602","0.585","0.405","0.0045"
"08-17-2024 04:00","1723867202","0.585","0.405","0.004"
"08-17-2024 05:00","1723870802","0.585","0.405","0.0045"
"08-17-2024 06:00","1723874402","0.585","0.405","0.004"
"08-17-2024 07:00","1723878002","0.585","0.405","0.0045"
"08-17-2024 08:00","1723881602","0.585","0.405","0.0045"
"08-17-2024 09:00","1723885202","0.585","0.405","0.0045"
"08-17-2024 10:00","1723888802","0.585","0.405","0.0045"
"08-17-2024 11:00","1723892402","0.585","0.405","0.0045"
"08-17-2024 12:00","1723896002","0.585","0.405","0.0045"
"08-17-2024 13:00","1723899602","0.585","0.41","0.0045"
"08-17-2024 14:00","1723903201","0.585","0.415","0.0045"
"08-17-2024 15:00","1723906802","0.585","0.415","0.0045"
"08-17-2024 16:00","1723910402","0.585","0.415","0.0045"
"08-17-2024 17:00","1723914001","0.585","0.415","0.0045"
"08-17-2024 18:00","1723917602","0.585","0.415","0.0045"
"08-17-2024 19:00","1723921202","0.585","0.415","0.0045"
"08-17-2024 20:00","1723924802","0.585","0.415","0.0045"
"08-17-2024 21:00","1723928402","0.585","0.415","0.0045"
"08-17-2024 22:00","1723932001","0.585","0.415","0.0045"
"08-17-2024 23:00","1723935602","0.585","0.415","0.0045"
"08-18-2024 00:00","1723939202","0.585","0.415","0.0045"
"08-18-2024 01:00","1723942802","0.585","0.415","0.0045"
"08-18-2024 02:00","1723946402","0.585","0.415","0.0045"
"08-18-2024 03:00","1723950002","0.585","0.415","0.0045"
"08-18-2024 04:00","1723953601","0.585","0.415","0.0045"
"08-18-2024 05:00","1723957202","0.585","0.415","0.0045"
"08-18-2024 06:00","1723960802","0.585","0.415","0.0045"
"08-18-2024 07:00","1723964401","0.585","0.415","0.0045"
"08-18-2024 08:00","1723968002","0.585","0.415","0.0035"
"08-18-2024 09:00","1723971602","0.585","0.415","0.0035"
"08-18-2024 10:00","1723975202","0.585","0.415","0.0035"
"08-18-2024 11:00","1723978802","0.585","0.415","0.0035"
"08-18-2024 12:00","1723982402","0.585","0.415","0.0035"
"08-18-2024 13:00","1723986002","0.585","0.415","0.0035"
"08-18-2024 14:00","1723989602","0.585","0.415","0.0035"
"08-18-2024 15:00","1723993202","0.585","0.415","0.0035"
"08-18-2024 16:00","1723996802","0.585","0.415","0.0035"
"08-18-2024 17:00","1724000402","0.585","0.415","0.0035"
"08-18-2024 18:00","1724004002","0.585","0.415","0.0035"
"08-18-2024 19:00","1724007602","0.585","0.415","0.0035"
"08-18-2024 20:00","1724011202","0.585","0.415","0.0035"
"08-18-2024 21:00","1724014802","0.585","0.415","0.0035"
"08-18-2024 22:00","1724018402","0.585","0.415","0.004"
"08-18-2024 23:00","1724022002","0.585","0.415","0.004"
"08-19-2024 00:00","1724025602","0.585","0.415","0.004"
"08-19-2024 01:00","1724029202","0.585","0.415","0.004"
"08-19-2024 02:00","1724032802","0.585","0.415","0.004"
"08-19-2024 03:00","1724036402","0.585","0.415","0.004"
"08-19-2024 04:00","1724040002","0.585","0.415","0.004"
"08-19-2024 05:00","1724043602","0.585","0.415","0.004"
"08-19-2024 06:00","1724047202","0.585","0.415","0.004"
"08-19-2024 07:00","1724050802","0.585","0.415","0.004"
"08-19-2024 08:00","1724054402","0.585","0.415","0.004"
"08-19-2024 09:00","1724058001","0.585","0.415","0.004"
"08-19-2024 10:00","1724061602","0.585","0.415","0.004"
"08-19-2024 11:00","1724065202","0.585","0.415","0.004"
"08-19-2024 12:00","1724068802","0.585","0.415","0.004"
"08-19-2024 13:00","1724072402","0.585","0.415","0.004"
"08-19-2024 14:00","1724076002","0.585","0.415","0.004"
"08-19-2024 15:00","1724079601","0.585","0.415","0.004"
"08-19-2024 16:00","1724083202","0.585","0.415","0.004"
"08-19-2024 17:00","1724086801","0.585","0.415","0.004"
"08-19-2024 18:00","1724090401","0.585","0.415","0.004"
"08-19-2024 19:00","1724094002","0.585","0.415","0.004"
"08-19-2024 20:00","1724097602","0.585","0.415","0.004"
"08-19-2024 21:00","1724101202","0.585","0.415","0.004"
"08-19-2024 22:00","1724104802","0.585","0.415","0.004"
"08-19-2024 23:00","1724108401","0.585","0.415","0.0035"
"08-20-2024 00:00","1724112001","0.585","0.415","0.0035"
"08-20-2024 01:00","1724115602","0.585","0.415","0.0035"
"08-20-2024 02:00","1724119202","0.585","0.415","0.0035"
"08-20-2024 03:00","1724122802","0.585","0.415","0.0035"
"08-20-2024 04:00","1724126402","0.585","0.415","0.0035"
"08-20-2024 05:00","1724130002","0.585","0.415","0.004"
"08-20-2024 06:00","1724133602","0.585","0.415","0.004"
"08-20-2024 07:00","1724137201","0.585","0.415","0.004"
"08-20-2024 08:00","1724140802","0.585","0.415","0.004"
"08-20-2024 09:00","1724144402","0.585","0.415","0.004"
"08-20-2024 10:00","1724148001","0.585","0.415","0.004"
"08-20-2024 11:00","1724151602","0.585","0.415","0.004"
"08-20-2024 12:00","1724155202","0.585","0.415","0.004"
"08-20-2024 13:00","1724158802","0.585","0.415","0.004"
"08-20-2024 14:00","1724162402","0.585","0.415","0.004"
"08-20-2024 15:00","1724166002","0.585","0.415","0.004"
"08-20-2024 16:00","1724169601","0.585","0.415","0.004"
"08-20-2024 17:00","1724173201","0.585","0.415","0.004"
"08-20-2024 18:00","1724176802","0.585","0.415","0.004"
"08-20-2024 19:00","1724180402","0.585","0.415","0.004"
"08-20-2024 20:00","1724184002","0.585","0.415","0.004"
"08-20-2024 21:00","1724187602","0.575","0.425","0.004"
"08-20-2024 22:00","1724191202","0.575","0.425","0.004"
"08-20-2024 23:00","1724194801","0.575","0.425","0.004"
"08-21-2024 00:00","1724198402","0.575","0.425","0.004"
"08-21-2024 01:00","1724202002","0.575","0.425","0.004"
"08-21-2024 02:00","1724205602","0.575","0.425","0.0035"
"08-21-2024 03:00","1724209202","0.565","0.435","0.004"
"08-21-2024 04:00","1724212802","0.565","0.435","0.004"
"08-21-2024 05:00","1724216402","0.565","0.435","0.004"
"08-21-2024 06:00","1724220002","0.565","0.435","0.004"
"08-21-2024 07:00","1724223602","0.565","0.435","0.004"
"08-21-2024 08:00","1724227202","0.565","0.435","0.004"
"08-21-2024 09:00","1724230802","0.565","0.435","0.004"
"08-21-2024 10:00","1724234402","0.565","0.435","0.004"
"08-21-2024 11:00","1724238002","0.565","0.435","0.0035"
"08-21-2024 12:00","1724241602","0.565","0.435","0.0035"
"08-21-2024 13:00","1724245201","0.565","0.435","0.0035"
"08-21-2024 14:00","1724248801","0.565","0.435","0.0035"
"08-21-2024 15:00","1724252401","0.565","0.435","0.0035"
"08-21-2024 16:00","1724256001","0.565","0.435","0.0035"
