ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,9/24/2020 12:00:00 AM,$0.57,$0.58,$0.57,$0.57,38929
Sanders,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pence,9/24/2020 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1860
Trump,9/24/2020 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,50748
Gillibrand,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5002
Cuban,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Ryan,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Yang,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Buttigieg,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Gabbard,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/24/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,5480
Steyer,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
West,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/25/2020 12:00:00 AM,$0.03,$0.05,$0.03,$0.04,8466
Warren,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/25/2020 12:00:00 AM,$0.57,$0.58,$0.57,$0.57,44868
Sanders,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,15001
Pence,9/25/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,13893
Trump,9/25/2020 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,36204
Gillibrand,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Buttigieg,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/25/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2192
Steyer,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
West,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/25/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/26/2020 12:00:00 AM,$0.04,$0.05,$0.03,$0.05,5523
Warren,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/26/2020 12:00:00 AM,$0.57,$0.58,$0.56,$0.57,52762
Sanders,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pence,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3193
Trump,9/26/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.47,57152
Gillibrand,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Buttigieg,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/26/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,16624
Steyer,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
West,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,18
Hawkins,9/26/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/27/2020 12:00:00 AM,$0.05,$0.05,$0.03,$0.03,12841
Warren,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/27/2020 12:00:00 AM,$0.57,$0.58,$0.56,$0.58,57665
Sanders,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,250
Pence,9/27/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,8476
Trump,9/27/2020 12:00:00 AM,$0.47,$0.47,$0.45,$0.46,67140
Gillibrand,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Buttigieg,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/27/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,9256
Steyer,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
West,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/27/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/28/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,5920
Warren,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/28/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.59,73986
Sanders,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,891
Pence,9/28/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4270
Trump,9/28/2020 12:00:00 AM,$0.46,$0.46,$0.44,$0.45,72658
Gillibrand,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Buttigieg,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/28/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,34475
Steyer,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
West,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/29/2020 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,66581
Warren,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,39
Booker,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/29/2020 12:00:00 AM,$0.59,$0.60,$0.58,$0.59,209914
Sanders,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6
Pence,9/29/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,37461
Trump,9/29/2020 12:00:00 AM,$0.45,$0.48,$0.42,$0.43,291220
Gillibrand,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Yang,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,66
Buttigieg,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Clinton,9/29/2020 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,103269
Steyer,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2000
West,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/30/2020 12:00:00 AM,$0.03,$0.04,$0.02,$0.02,202934
Warren,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Booker,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Kasich,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Biden,9/30/2020 12:00:00 AM,$0.59,$0.63,$0.59,$0.62,193532
Sanders,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,916
Pence,9/30/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,113684
Trump,9/30/2020 12:00:00 AM,$0.43,$0.44,$0.41,$0.42,176619
Gillibrand,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Cuomo,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Zuckerberg,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Haley,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Yang,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,16
Buttigieg,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Clinton,9/30/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,27720
Steyer,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
West,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Harris,10/1/2020 12:00:00 AM,$0.02,$0.03,$0.01,$0.03,17018
Warren,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,10/1/2020 12:00:00 AM,$0.62,$0.66,$0.62,$0.66,131046
Sanders,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,75
Pence,10/1/2020 12:00:00 AM,$0.01,$0.04,$0.01,$0.03,450938
Trump,10/1/2020 12:00:00 AM,$0.42,$0.42,$0.39,$0.39,158471
Gillibrand,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,125
Ryan,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Buttigieg,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,75
Gabbard,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,10/1/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,76487
Steyer,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
West,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,10/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,10/2/2020 12:00:00 AM,$0.03,$0.07,$0.02,$0.04,545633
Warren,10/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,876
Booker,10/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,10/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Biden,10/2/2020 12:00:00 AM,$0.66,$0.71,$0.62,$0.64,399426
Sanders,10/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,14353
Pence,10/2/2020 12:00:00 AM,$0.03,$0.10,$0.02,$0.05,1073320
Trump,10/2/2020 12:00:00 AM,$0.39,$0.40,$0.33,$0.37,504276
